  [Bronchospasm] macro-cycle end, t= 18.65s  auto_peep=3.9876
  [Bronchospasm] macro-cycle end, t= 24.65s  auto_peep=0.7818
  [Bronchospasm] macro-cycle end, t= 30.65s  auto_peep=3.3359
  [Bronchospasm] macro-cycle end, t= 36.75s  auto_peep=3.1140
  [Bronchospasm] macro-cycle end, t= 42.75s  auto_peep=3.3517
  [Bronchospasm] macro-cycle end, t= 48.75s  auto_peep=2.4773
  [Bronchospasm] macro-cycle end, t= 55.07s  auto_peep=3.5449
  [Bronchospasm] macro-cycle end, t= 61.14s  auto_peep=5.2892
  [Bronchospasm] macro-cycle end, t= 67.14s  auto_peep=5.4422
  [Bronchospasm] macro-cycle end, t= 73.14s  auto_peep=4.1895
  [Bronchospasm] macro-cycle end, t= 79.14s  auto_peep=2.7850
  [Bronchospasm] macro-cycle end, t= 85.20s  auto_peep=5.2381
  [Bronchospasm] macro-cycle end, t= 91.63s  auto_peep=4.2889
  [Bronchospasm] macro-cycle end, t= 97.65s  auto_peep=6.0812
  [Bronchospasm] macro-cycle end, t=103.65s  auto_peep=4.1560
  [Bronchospasm] macro-cycle end, t=109.90s  auto_peep=4.9226
  [Bronchospasm] macro-cycle end, t=115.90s  auto_peep=5.5224
  [Bronchospasm] macro-cycle end, t=122.22s  auto_peep=3.4343
  [Bronchospasm] macro-cycle end, t= 10.80s  auto_peep=3.5441
  [Bronchospasm] macro-cycle end, t= 17.31s  auto_peep=4.3267
  [Bronchospasm] macro-cycle end, t= 24.11s  auto_peep=3.6195
  [Bronchospasm] macro-cycle end, t= 30.64s  auto_peep=4.4535
  [Bronchospasm] macro-cycle end, t= 36.64s  auto_peep=3.1855
  [Bronchospasm] macro-cycle end, t= 42.64s  auto_peep=2.6746
  [Bronchospasm] macro-cycle end, t= 48.64s  auto_peep=2.6863
  [Bronchospasm] macro-cycle end, t= 54.64s  auto_peep=5.6694
  [Bronchospasm] macro-cycle end, t= 60.64s  auto_peep=5.3542
  [Bronchospasm] macro-cycle end, t= 66.64s  auto_peep=2.5441
  [Bronchospasm] macro-cycle end, t= 72.64s  auto_peep=3.5550
  [Bronchospasm] macro-cycle end, t= 78.64s  auto_peep=2.7498
  [Bronchospasm] macro-cycle end, t= 84.92s  auto_peep=3.7485
  [Bronchospasm] macro-cycle end, t= 90.92s  auto_peep=4.3408
  [Bronchospasm] macro-cycle end, t= 96.92s  auto_peep=6.0994
  [Bronchospasm] macro-cycle end, t=102.92s  auto_peep=5.0380
  [Bronchospasm] macro-cycle end, t=108.92s  auto_peep=4.5807
  [Bronchospasm] macro-cycle end, t=114.92s  auto_peep=4.0057
  [Bronchospasm] macro-cycle end, t=120.92s  auto_peep=5.0101
  [Bronchospasm] macro-cycle end, t=  6.00s  auto_peep=4.3088
  [Bronchospasm] macro-cycle end, t= 16.84s  auto_peep=2.2329
  [Bronchospasm] macro-cycle end, t= 22.84s  auto_peep=3.4761
  [Bronchospasm] macro-cycle end, t= 28.84s  auto_peep=3.5069
  [Bronchospasm] macro-cycle end, t= 35.00s  auto_peep=4.2679
  [Bronchospasm] macro-cycle end, t= 41.03s  auto_peep=4.4915
  [Bronchospasm] macro-cycle end, t= 47.50s  auto_peep=4.3823
  [Bronchospasm] macro-cycle end, t= 54.14s  auto_peep=5.2130
  [Bronchospasm] macro-cycle end, t= 60.53s  auto_peep=5.7284
  [Bronchospasm] macro-cycle end, t= 71.91s  auto_peep=2.4466
  [Bronchospasm] macro-cycle end, t= 77.98s  auto_peep=3.6536
  [Bronchospasm] macro-cycle end, t= 83.98s  auto_peep=4.8007
  [Bronchospasm] macro-cycle end, t= 90.23s  auto_peep=4.8839
  [Bronchospasm] macro-cycle end, t= 96.52s  auto_peep=3.3061
  [Bronchospasm] macro-cycle end, t=102.94s  auto_peep=2.7582
  [Bronchospasm] macro-cycle end, t=108.94s  auto_peep=3.5659
  [Bronchospasm] macro-cycle end, t=115.70s  auto_peep=3.8593
  [Bronchospasm] macro-cycle end, t=121.70s  auto_peep=3.5157
  [Bronchospasm] macro-cycle end, t= 11.27s  auto_peep=2.2656
  [Bronchospasm] macro-cycle end, t= 22.74s  auto_peep=4.0571
  [Bronchospasm] macro-cycle end, t= 28.74s  auto_peep=0.7061
  [Bronchospasm] macro-cycle end, t= 39.50s  auto_peep=4.8687
  [Bronchospasm] macro-cycle end, t= 45.50s  auto_peep=2.7099
  [Bronchospasm] macro-cycle end, t= 51.50s  auto_peep=2.0216
  [Bronchospasm] macro-cycle end, t= 57.50s  auto_peep=3.4318
  [Bronchospasm] macro-cycle end, t= 63.50s  auto_peep=3.4630
  [Bronchospasm] macro-cycle end, t= 74.29s  auto_peep=3.3824
  [Bronchospasm] macro-cycle end, t= 80.29s  auto_peep=4.1598
  [Bronchospasm] macro-cycle end, t= 91.34s  auto_peep=4.1541
  [Bronchospasm] macro-cycle end, t=103.05s  auto_peep=2.3618
  [Bronchospasm] macro-cycle end, t=109.05s  auto_peep=4.4375
  [Bronchospasm] macro-cycle end, t=115.21s  auto_peep=4.1265
  [Bronchospasm] macro-cycle end, t= 16.52s  auto_peep=3.0285
  [Bronchospasm] macro-cycle end, t= 22.75s  auto_peep=3.9419
  [Bronchospasm] macro-cycle end, t= 28.96s  auto_peep=3.9485
  [Bronchospasm] macro-cycle end, t= 35.29s  auto_peep=3.6466
  [Bronchospasm] macro-cycle end, t= 41.29s  auto_peep=3.3147
  [Bronchospasm] macro-cycle end, t= 47.29s  auto_peep=2.9665
  [Bronchospasm] macro-cycle end, t= 53.29s  auto_peep=3.3888
  [Bronchospasm] macro-cycle end, t= 59.70s  auto_peep=3.6301
  [Bronchospasm] macro-cycle end, t= 65.70s  auto_peep=4.1878
  [Bronchospasm] macro-cycle end, t= 71.70s  auto_peep=2.9737
  [Bronchospasm] macro-cycle end, t= 77.70s  auto_peep=2.8698
  [Bronchospasm] macro-cycle end, t= 83.70s  auto_peep=2.6315
  [Bronchospasm] macro-cycle end, t= 89.70s  auto_peep=3.4987
  [Bronchospasm] macro-cycle end, t= 95.70s  auto_peep=3.0962
  [Bronchospasm] macro-cycle end, t=101.70s  auto_peep=3.5750
  [Bronchospasm] macro-cycle end, t=108.16s  auto_peep=3.7598
